Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.487513, 0.000000,-0.338550
0.000500,-0.529026, 0.000500,-0.348318
0.001000,-0.492396, 0.001000,-0.345876
0.001500,-0.460650, 0.001500,-0.409368
0.002000,-0.480186, 0.002000,-0.399601
0.002500,-0.502165, 0.002500,-0.338550
0.003000,-0.511933, 0.003000,-0.345876
0.003500,-0.497281, 0.003500,-0.355644
0.004000,-0.487513, 0.004000,-0.326340
0.004500,-0.499723, 0.004500,-0.353202
0.005000,-0.507049, 0.005000,-0.353202
0.005500,-0.504607, 0.005500,-0.328783
0.006000,-0.499723, 0.006000,-0.316573
0.006500,-0.489955, 0.006500,-0.314130
0.007000,-0.470419, 0.007000,-0.316573
0.007500,-0.480186, 0.007500,-0.328783
0.008000,-0.475303, 0.008000,-0.345876
0.008500,-0.458209, 0.008500,-0.345876
0.009000,-0.448441, 0.009000,-0.345876
0.009500,-0.463093, 0.009500,-0.355644
0.010000,-0.453325, 0.010000,-0.387390
0.010500,-0.475303, 0.010500,-0.367854
0.011000,-0.492396, 0.011000,-0.377623
0.011500,-0.502165, 0.011500,-0.365413
0.012000,-0.514374, 0.012000,-0.340993
0.012500,-0.536353, 0.012500,-0.326340
0.013000,-0.492396, 0.013000,-0.372739
0.013500,-0.514374, 0.013500,-0.314130
0.014000,-0.519259, 0.014000,-0.333666
0.014500,-0.502165, 0.014500,-0.316573
0.015000,-0.499723, 0.015000,-0.299478
0.015500,-0.472860, 0.015500,-0.316573
0.016000,-0.463093, 0.016000,-0.326340
0.016500,-0.421579, 0.016500,-0.333666
0.017000,-0.426463, 0.017000,-0.353202
0.017500,-0.431346, 0.017500,-0.353202
0.018000,-0.436230, 0.018000,-0.358086
0.018500,-0.460650, 0.018500,-0.380064
0.019000,-0.482629, 0.019000,-0.365413
0.019500,-0.487513, 0.019500,-0.355644
0.020000,-0.499723, 0.020000,-0.384949
0.020500,-0.507049, 0.020500,-0.399601
0.021000,-0.533910, 0.021000,-0.353202
0.021500,-0.553447, 0.021500,-0.336109
0.022000,-0.543679, 0.022000,-0.311688
0.022500,-0.553447, 0.022500,-0.301920
0.023000,-0.533910, 0.023000,-0.306804
0.023500,-0.511933, 0.023500,-0.333666
0.024000,-0.480186, 0.024000,-0.340993
0.024500,-0.460650, 0.024500,-0.336109
0.025000,-0.438673, 0.025000,-0.311688
0.025500,-0.460650, 0.025500,-0.326340
0.026000,-0.448441, 0.026000,-0.321456
0.026500,-0.431346, 0.026500,-0.355644
0.027000,-0.465534, 0.027000,-0.367854
0.027500,-0.460650, 0.027500,-0.358086
0.028000,-0.477744, 0.028000,-0.355644
0.028500,-0.494839, 0.028500,-0.360528
0.029000,-0.516816, 0.029000,-0.375180
0.029500,-0.509491, 0.029500,-0.353202
0.030000,-0.487513, 0.030000,-0.389833
0.030500,-0.514374, 0.030500,-0.370296
0.031000,-0.514374, 0.031000,-0.362970
0.031500,-0.529026, 0.031500,-0.323899
0.032000,-0.533910, 0.032000,-0.301920
0.032500,-0.536353, 0.032500,-0.277500
0.033000,-0.519259, 0.033000,-0.304362
0.033500,-0.502165, 0.033500,-0.326340
0.034000,-0.472860, 0.034000,-0.336109
0.034500,-0.470419, 0.034500,-0.326340
0.035000,-0.445999, 0.035000,-0.309246
0.035500,-0.458209, 0.035500,-0.319014
0.036000,-0.455767, 0.036000,-0.319014
0.036500,-0.445999, 0.036500,-0.362970
0.037000,-0.448441, 0.037000,-0.365413
0.037500,-0.458209, 0.037500,-0.358086
0.038000,-0.463093, 0.038000,-0.343435
0.038500,-0.524143, 0.038500,-0.370296
0.039000,-0.529026, 0.039000,-0.358086
