Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.465534, 0.000000,-0.338550
0.000500,-0.455767, 0.000500,-0.345876
0.001000,-0.392275, 0.001000,-0.343435
0.001500,-0.526584, 0.001500,-0.380064
0.002000,-0.546121, 0.002000,-0.331224
0.002500,-0.362970, 0.002500,-0.350760
0.003000,-0.443556, 0.003000,-0.358086
0.003500,-0.521700, 0.003500,-0.355644
0.004000,-0.485070, 0.004000,-0.350760
0.004500,-0.409368, 0.004500,-0.319014
0.005000,-0.460650, 0.005000,-0.350760
0.005500,-0.514374, 0.005500,-0.355644
0.006000,-0.492396, 0.006000,-0.326340
0.006500,-0.436230, 0.006500,-0.299478
0.007000,-0.433789, 0.007000,-0.321456
0.007500,-0.480186, 0.007500,-0.304362
0.008000,-0.424020, 0.008000,-0.355644
0.008500,-0.426463, 0.008500,-0.297036
0.009000,-0.424020, 0.009000,-0.333666
0.009500,-0.426463, 0.009500,-0.362970
0.010000,-0.428904, 0.010000,-0.326340
0.010500,-0.426463, 0.010500,-0.358086
0.011000,-0.402043, 0.011000,-0.375180
0.011500,-0.448441, 0.011500,-0.389833
0.012000,-0.489955, 0.012000,-0.397159
0.012500,-0.477744, 0.012500,-0.367854
0.013000,-0.499723, 0.013000,-0.345876
0.013500,-0.509491, 0.013500,-0.338550
0.014000,-0.502165, 0.014000,-0.319014
0.014500,-0.487513, 0.014500,-0.328783
0.015000,-0.480186, 0.015000,-0.326340
0.015500,-0.482629, 0.015500,-0.314130
0.016000,-0.465534, 0.016000,-0.321456
0.016500,-0.443556, 0.016500,-0.306804
0.017000,-0.465534, 0.017000,-0.323899
0.017500,-0.397159, 0.017500,-0.331224
0.018000,-0.406926, 0.018000,-0.333666
0.018500,-0.441115, 0.018500,-0.343435
0.019000,-0.409368, 0.019000,-0.355644
0.019500,-0.411810, 0.019500,-0.367854
0.020000,-0.431346, 0.020000,-0.365413
0.020500,-0.421579, 0.020500,-0.360528
0.021000,-0.416694, 0.021000,-0.370296
0.021500,-0.504607, 0.021500,-0.348318
0.022000,-0.509491, 0.022000,-0.387390
0.022500,-0.519259, 0.022500,-0.343435
0.023000,-0.529026, 0.023000,-0.348318
0.023500,-0.509491, 0.023500,-0.294594
0.024000,-0.497281, 0.024000,-0.319014
0.024500,-0.480186, 0.024500,-0.321456
0.025000,-0.458209, 0.025000,-0.304362
0.025500,-0.419136, 0.025500,-0.323899
0.026000,-0.433789, 0.026000,-0.319014
0.026500,-0.428904, 0.026500,-0.331224
0.027000,-0.482629, 0.027000,-0.343435
0.027500,-0.355644, 0.027500,-0.333666
0.028000,-0.402043, 0.028000,-0.350760
0.028500,-0.467976, 0.028500,-0.380064
0.029000,-0.445999, 0.029000,-0.316573
0.029500,-0.404484, 0.029500,-0.350760
0.030000,-0.384949, 0.030000,-0.365413
0.030500,-0.436230, 0.030500,-0.372739
0.031000,-0.497281, 0.031000,-0.345876
0.031500,-0.477744, 0.031500,-0.362970
0.032000,-0.565657, 0.032000,-0.382506
0.032500,-0.555889, 0.032500,-0.358086
0.033000,-0.529026, 0.033000,-0.338550
0.033500,-0.507049, 0.033500,-0.301920
0.034000,-0.465534, 0.034000,-0.292152
0.034500,-0.436230, 0.034500,-0.306804
0.035000,-0.445999, 0.035000,-0.314130
0.035500,-0.372739, 0.035500,-0.306804
0.036000,-0.453325, 0.036000,-0.319014
0.036500,-0.458209, 0.036500,-0.343435
0.037000,-0.343435, 0.037000,-0.365413
0.037500,-0.428904, 0.037500,-0.387390
0.038000,-0.511933, 0.038000,-0.402043
0.038500,-0.389833, 0.038500,-0.392275
0.039000,-0.414253, 0.039000,-0.360528
0.039500,-0.367854, 0.039500,-0.372739
0.040000,-0.460650, 0.040000,-0.360528
0.040500,-0.511933, 0.040500,-0.362970
0.041000,-0.570540, 0.041000,-0.355644
0.041500,-0.594961, 0.041500,-0.299478
0.042000,-0.582750, 0.042000,-0.353202
0.042500,-0.538795, 0.042500,-0.306804
0.043000,-0.455767, 0.043000,-0.282384
0.043500,-0.470419, 0.043500,-0.277500
0.044000,-0.441115, 0.044000,-0.297036
0.044500,-0.380064, 0.044500,-0.299478
0.045000,-0.436230, 0.045000,-0.304362
0.045500,-0.438673, 0.045500,-0.350760
0.046000,-0.353202, 0.046000,-0.372739
0.046500,-0.358086, 0.046500,-0.394716
0.047000,-0.536353, 0.047000,-0.421579
0.047500,-0.348318, 0.047500,-0.404484
0.048000,-0.419136, 0.048000,-0.358086
