Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.494839, 0.000000,-0.345876
0.000500,-0.489955, 0.000500,-0.323899
0.001000,-0.399601, 0.001000,-0.348318
0.001500,-0.511933, 0.001500,-0.384949
0.002000,-0.536353, 0.002000,-0.331224
0.002500,-0.404484, 0.002500,-0.338550
0.003000,-0.414253, 0.003000,-0.365413
0.003500,-0.502165, 0.003500,-0.362970
0.004000,-0.504607, 0.004000,-0.345876
0.004500,-0.421579, 0.004500,-0.345876
0.005000,-0.455767, 0.005000,-0.336109
0.005500,-0.516816, 0.005500,-0.355644
0.006000,-0.507049, 0.006000,-0.328783
0.006500,-0.472860, 0.006500,-0.314130
0.007000,-0.460650, 0.007000,-0.323899
0.007500,-0.460650, 0.007500,-0.297036
0.008000,-0.443556, 0.008000,-0.319014
0.008500,-0.453325, 0.008500,-0.316573
0.009000,-0.475303, 0.009000,-0.319014
0.009500,-0.421579, 0.009500,-0.340993
0.010000,-0.426463, 0.010000,-0.358086
0.010500,-0.431346, 0.010500,-0.370296
0.011000,-0.414253, 0.011000,-0.365413
0.011500,-0.458209, 0.011500,-0.365413
0.012000,-0.514374, 0.012000,-0.367854
0.012500,-0.511933, 0.012500,-0.387390
0.013000,-0.526584, 0.013000,-0.389833
0.013500,-0.533910, 0.013500,-0.358086
0.014000,-0.514374, 0.014000,-0.333666
0.014500,-0.499723, 0.014500,-0.321456
0.015000,-0.487513, 0.015000,-0.314130
0.015500,-0.458209, 0.015500,-0.301920
0.016000,-0.458209, 0.016000,-0.304362
0.016500,-0.448441, 0.016500,-0.309246
0.017000,-0.438673, 0.017000,-0.323899
0.017500,-0.475303, 0.017500,-0.316573
0.018000,-0.387390, 0.018000,-0.343435
0.018500,-0.455767, 0.018500,-0.367854
0.019000,-0.421579, 0.019000,-0.348318
0.019500,-0.465534, 0.019500,-0.370296
0.020000,-0.443556, 0.020000,-0.358086
0.020500,-0.424020, 0.020500,-0.377623
0.021000,-0.399601, 0.021000,-0.345876
0.021500,-0.448441, 0.021500,-0.358086
0.022000,-0.492396, 0.022000,-0.358086
0.022500,-0.543679, 0.022500,-0.343435
0.023000,-0.553447, 0.023000,-0.345876
0.023500,-0.543679, 0.023500,-0.343435
0.024000,-0.509491, 0.024000,-0.333666
0.024500,-0.526584, 0.024500,-0.333666
0.025000,-0.519259, 0.025000,-0.304362
0.025500,-0.480186, 0.025500,-0.304362
0.026000,-0.411810, 0.026000,-0.309246
0.026500,-0.426463, 0.026500,-0.309246
0.027000,-0.416694, 0.027000,-0.309246
0.027500,-0.455767, 0.027500,-0.336109
0.028000,-0.336109, 0.028000,-0.314130
0.028500,-0.480186, 0.028500,-0.355644
0.029000,-0.472860, 0.029000,-0.377623
0.029500,-0.477744, 0.029500,-0.382506
0.030000,-0.426463, 0.030000,-0.367854
0.030500,-0.409368, 0.030500,-0.367854
0.031000,-0.421579, 0.031000,-0.365413
0.031500,-0.519259, 0.031500,-0.353202
0.032000,-0.529026, 0.032000,-0.353202
0.032500,-0.570540, 0.032500,-0.328783
0.033000,-0.541236, 0.033000,-0.340993
0.033500,-0.516816, 0.033500,-0.343435
0.034000,-0.509491, 0.034000,-0.336109
0.034500,-0.519259, 0.034500,-0.309246
0.035000,-0.494839, 0.035000,-0.287269
0.035500,-0.441115, 0.035500,-0.311688
0.036000,-0.424020, 0.036000,-0.331224
0.036500,-0.409368, 0.036500,-0.319014
0.037000,-0.411810, 0.037000,-0.338550
0.037500,-0.360528, 0.037500,-0.345876
0.038000,-0.399601, 0.038000,-0.362970
0.038500,-0.489955, 0.038500,-0.394716
0.039000,-0.489955, 0.039000,-0.384949
0.039500,-0.448441, 0.039500,-0.360528
0.040000,-0.367854, 0.040000,-0.358086
0.040500,-0.472860, 0.040500,-0.367854
0.041000,-0.521700, 0.041000,-0.377623
0.041500,-0.548563, 0.041500,-0.338550
0.042000,-0.602287, 0.042000,-0.316573
0.042500,-0.519259, 0.042500,-0.321456
0.043000,-0.502165, 0.043000,-0.333666
0.043500,-0.499723, 0.043500,-0.321456
0.044000,-0.514374, 0.044000,-0.284826
0.044500,-0.504607, 0.044500,-0.284826
0.045000,-0.428904, 0.045000,-0.277500
0.045500,-0.406926, 0.045500,-0.328783
0.046000,-0.419136, 0.046000,-0.399601
0.046500,-0.350760, 0.046500,-0.358086
0.047000,-0.338550, 0.047000,-0.360528
0.047500,-0.494839, 0.047500,-0.370296
0.048000,-0.463093, 0.048000,-0.392275
0.048500,-0.487513, 0.048500,-0.382506
0.049000,-0.419136, 0.049000,-0.380064
0.049500,-0.394716, 0.049500,-0.375180
0.050000,-0.509491, 0.050000,-0.375180
0.050500,-0.565657, 0.050500,-0.353202
0.051000,-0.604729, 0.051000,-0.309246
0.051500,-0.555889, 0.051500,-0.282384
0.052000,-0.509491, 0.052000,-0.316573
0.052500,-0.485070, 0.052500,-0.367854
0.053000,-0.497281, 0.053000,-0.287269
0.053500,-0.519259, 0.053500,-0.289710
0.054000,-0.455767, 0.054000,-0.270174
0.054500,-0.389833, 0.054500,-0.328783
0.055000,-0.436230, 0.055000,-0.336109
0.055500,-0.394716, 0.055500,-0.382506
0.056000,-0.299478, 0.056000,-0.377623
0.056500,-0.387390, 0.056500,-0.411810
0.057000,-0.521700, 0.057000,-0.406926
0.057500,-0.387390, 0.057500,-0.397159
0.058000,-0.499723, 0.058000,-0.392275
0.058500,-0.406926, 0.058500,-0.399601
0.059000,-0.450883, 0.059000,-0.370296
0.059500,-0.597403, 0.059500,-0.336109
0.060000,-0.577866, 0.060000,-0.314130
0.060500,-0.587635, 0.060500,-0.282384
0.061000,-0.526584, 0.061000,-0.289710
0.061500,-0.475303, 0.061500,-0.299478
0.062000,-0.504607, 0.062000,-0.289710
0.062500,-0.499723, 0.062500,-0.267733
0.063000,-0.475303, 0.063000,-0.301920
0.063500,-0.387390, 0.063500,-0.304362
0.064000,-0.433789, 0.064000,-0.338550
0.064500,-0.343435, 0.064500,-0.402043
0.065000,-0.306804, 0.065000,-0.409368
0.065500,-0.467976, 0.065500,-0.409368
0.066000,-0.467976, 0.066000,-0.402043
0.066500,-0.470419, 0.066500,-0.411810
0.067000,-0.419136, 0.067000,-0.399601
0.067500,-0.448441, 0.067500,-0.399601
0.068000,-0.507049, 0.068000,-0.362970
0.068500,-0.580309, 0.068500,-0.323899
0.069000,-0.555889, 0.069000,-0.292152
